price_yen	product_name	brand	selling_rank	review1_ja		review1_en	review2_ja	review2_en	review3_ja	review3_en	review4_ja	review4_en	review5_ja	review5_en	shorten_url
6990	Desk Wagon	DEVAISE	amazon_7	製品はとても良い感じです。外観、引き出しの動きは、高級感すら感じます。	The product is very good feeling. Appearance, drawer movement, even feel high-class feeling.	組み立て説明書を読みながら「これは良く設計され、製造のしかたも良い」と感心しながら作業を進めました。	While reading the assembly instructions, I proceeded with my work admiring that "this was well designed and manufactured well".	None	None	None	None	None	None	https://amzn.to/2CAlLQr
6990	Wagon, Chest, wooden	LOWYA	rakuten_12	L字型デスクに合わせて購入。机下に丁度入る大きさでした。組立簡単でした。安定感があります。	Purchased according to the L-shaped desk. It was the size that I could just enter the desk. It was easy to assemble. There is a sense of stability.	商品の紹介で書いてあった通り、奥行45cmにピッタリなので使いやすいです。	It is easy to use because it is perfect for a depth of 45 cm, as it was written in the introduction of goods.	これはしっかりしています。組み立てに少し時間がかかりましたが、なんとか仕上げる事ができました。満足のいく買い物ができました。	This is solid. It took a while to assemble it, but I managed to finish it. I was satisfied with my shopping.	組み立ては簡単でしたし、作りも満足しています。同じ色の机の下に入れて使っていますが、とても相性がいいように思います。	It was easy to assemble and I am satisfied with making it. I use it under the desk of the same color, but I think that it is very compatible.	使い勝手良し！一台の製作時間は約１時間！時間が掛かるかのように思いますが、板と板を張り合わせして行くので、作る度に愛着が湧いてきます！	Easy to use! One production time is about 1 hour! I think that it will take time, but since I will paste boards and boards together, attachment will spring up every time I make it!	https://bit.ly/2REl0zW
7100	Desk side wagon set	house BOAT	yahoo_44	職場の事務所用に購入しました！組み立ても簡単で書類が整理できて重宝してます。	I purchased it for my office in my office! It is convenient to assemble and easy to assemble documents.	None	None	None	None	None	None	None	None	https://bit.ly/2S0n8Br
7480	Simple shelf	SANWA DIRECT	rakutenDaily_88	組み立ては簡単。造りもしっかりしてるしガタつきも無く良い商品。	Easy to assemble. It is also a good product without firm rattling and rattling.	組み立ては初めてでも30分程度で出来ました。作りはしっかりしています。当たり前ですが、シンプルワークデスクと並べて使うのには丁度良いです。	Even for the first time assembly was possible in about 30 minutes. Making is solid. It is natural, but it is just good to use side by side with simple work desk.	極めてシンプルで、インテリアのなかで主張しないので、どんな部屋にも合わせやすいかと。事務的すぎないのもいいかなと。	It is extremely simple, I do not claim in the interior, so I wonder what it is easy to match any room. I wonder if it is not too clerical.	None	None	None	None	https://bit.ly/2CAmFMP
7549	Desk side chest, 3 drawers	Adhoc Style	yahoo_8	送られて現物を見るまでは材質や色、強度に不安があったが、いずれも申し分ないです。鍵が全ての引き出しにかかるので、福祉施設のケアホームで各利用者様に安心してご利用頂いています。	Until it was sent and looked at the actual thing, there was anxiety about the material, color, strength, but neither is satisfactory. Because the key is taken by all drawers, we are using it safely for each user at the care home of the welfare facility.	お値段相当のいいお買い物ができました。子供は鍵付きで嬉しそうに使っているので、良い買い物ができたと思います。	Good shopping equivalent to the price was able to be done. Because children use pleasantly with key, I think that I was able to do a good shopping.	外寸サイズは希望通り。日曜大工で改造してでも購入する価値はあると思います。	External dimensions are as desired. I think that it is worth purchasing even if it is remodeled on a DIY carpenter.	None	None	None	None	https://bit.ly/2FSDsO7
7990	Desk Wagon, Sara	NITORI	rakuten_178	同じシリーズのデスクと一緒に購入しました。組立がとても簡単でした。引き出しが深めで、容量がけっこうあります。	I bought it with the desk of the same series. Assembly was very easy. The drawer is deeper, and the capacity is pretty.	None	None	None	None	None	None	None	None	https://bit.ly/2TcUOJK
7999	HELMER - drawer unit	IKEA	rakuten_177	色々整理するのに、大きくなく、小さくなく程よいサイズで気に入りました。	To organize variously, I like it because it is not big, not small and of reasonable size.	組み立てのとき、ネジが固かったので苦労したけど、出来上がって小物類いれてますが、見た目が良いので満足です。	When assembling, because the screw was hard, I had a hard time, but I finished accessories, but I am satisfied because it looks good.	None	None	None	None	None	None	https://bit.ly/2RLgmQX
8080	Multi Chest, wooden, already assembled	BON-KAGU	rakuten_43	高さも丁度よく引き出しもついていてとても気に入りました。組み立て済みだから箱からだしてソファー横に置いただけです。購入して本当によかったです。	I liked it very well with drawers also exactly the height. I just put it out of the box and put it next to the sofa because it is assembled. It was really nice to purchase.	値段も手ごろでキャスター付きで、きにいりました。完成品があり助かりました。長く愛用できそうです。引出があるので良いと思いました。	The price was reasonable, with casters, I was satisfied. There was a finished product and it was saved. It seems that you can patronize long. I thought that there was a withdrawal.	None	None	None	None	None	None	https://bit.ly/2Uc9Uzf
8150	IN-WAGON, 3 drawers	LOOKIT	rakuten_59	デスクとセットで購入しました。しっかりとした作りで満足です。	I bought it with a desk and set. I am satisfied with the firm making.	作りもしっかりしているし、デザインも良く使い勝手が良さそうで満足しました。	I am also solid and I am satisfied that the design is good and the usability is good.	会社用にテーブルと同時購入。取り回しがよく気に入っております。	Buy for table at the same time for company. I like my handling a lot.	引出のない机に座っていたので、やっと引出ができ、机の上がきれいになりました。	Because I was sitting on a desk without a drawer, I finally got a drawer, the top of the desk became clean.	スタイル抜群。写真で見た通りの商品でした。丈夫そうで安心しました。	Excellent style. It was a product as I saw in the picture. I seemed to be strong and I was relieved.	https://bit.ly/2HuvgWT
8280	Desk Wagon with cylinder lock, 3 drawers	LOOKIT	rakuten_4	色も見た目も想像通りでした。一段開けると他の段が開かないタイプで、ボールペン等の文具を置ける場所もあり使い勝手の良さそうなワゴンでした！！	The color and appearance were just as imagined. It was a type that opened another stage and the other steps did not open, it was a wagon that seems to be convenient for use as there are places where you can place stationery such as ballpoint pens!!	高さ70ｃｍのテーブルの下に入るデスクサイドワゴンを探していたところ高評価なこの商品を見つけました。スペックも良いので購入してみましたが、コストパフォーマンスは相当優れていると言って間違いありません。	I found this highly rated item as I was looking for a desk side wagon to enter under a table with a height of 70 cm. I tried to buy it because the spec is also good, but there is no doubt to say that cost performance is considerably better.	商品はシンプルなデザイン。つや消しが落ち着いた感じです。作りもしっかりとして、とても良いです。手掛けが側面にあるので、前面がフラットなところも気に入りました。	The product is a simple design. It is a feeling that matting has calmed down. I make it solid and it is very good. Because the hands are on the side, I liked the place with a flat front.	想像以上に、すべての動きがスムーズで満足です。また、完成品だけに、組み立ての煩わしさもなく良かったです。書類の整理に活躍してくれそうです。	Beyond imagination, every move is smooth and satisfying. Moreover, it was good only for the finished product without troublesome assembly. It seems to be active in organizing documents.	鍵付きのよいサイドキャビネットで、新品で価格も安くて大変満足しています。	It is a good side cabinet with a key, it is brand new and the price is cheap and I am very satisfied.	https://bit.ly/2W65fRb
8522	Cabinet with casters, 3 drawers	OSJ	amazon_4	Ａ４サイズが入り、銀行の通帳や謄本類等も保管できます。オフィス用のイメージがありますが、家庭用としても便利です。デザインも白でシンプルなの良い点だと思います。	A4 size enters, bank passbooks and transcripts etc can be stored. There is an image for office, but it is convenient for home use as well. I think the design is also good in white and simple.	同時に引き出しが、引き出せないようになっていたので、慣れるのに時間が掛かりましたが、安全面では大変良いと思います。	At the same time, since the drawer could not be withdrawn, it took time to get used to, but I think that it is very good in terms of safety.	どこかの引き出しが半開きだと他の引き出しが開きません。キャスターも装着済みで直ぐ使えるのがいいですね！	If drawers somewhere are half open, other drawers will not open. It is good to have the casters installed and ready to use!	しっかりとしていて、またシンプルなので使いやすいです。	It is solid and easy to use because it is simple.	値段もお手頃でなおかつ、組立しないで即使用できるので大変良かったです。娘も気に入っております。	The price was also reasonable and it was very good as it can be used immediately without assembling. My daughter likes it too.	https://amzn.to/2FPuVeZ
