	scenario_title	search_nums	image_path	target_price_buyer	target_price_seller	description_buyer	description_seller
1655	IKEA DESK / TABLE	124000000		18	20	Both are identical except one is slightly longer. Come assembled, pick up only. Slight chipping on edges but barely noticeable.	Both are identical except one is slightly longer. Come assembled, pick up only. Slight chipping on edges but barely noticeable. Shorter desk/table: 29 inches tall, 39.5 inches long, 33 inches wide Longer desk/table: 29 inches tall, 47 inches long, 33 inches wide
1700	IKEA Table - Desk - Black	88400000		7	15	Two Ikea Table - Desks are available in two sizes. They are both in great condition (like new). They are identical in terms of general look and hight. Only the table top size is different. Size: 39 by 24 inches	Two Ikea Table - Desks are available in two sizes. They are both in great condition (like new). They are identical in terms of general look and hight. Only the table top size is different. Size: 39 by 24 inches Color: Black Condition: Like new Size: 59 by 30 inches Color: Black Condition: Like new
1061	IKEA Night stand	77000000	furniture/6140919877_0.jpg	7	10	Not sure about the model number but I bought it at IKEA.	Not sure about the model number but I bought it at IKEA. pickup only. It has a small white paint and scratch.
32	Contemporary IKEA Cabinet for sale	38400000	furniture/6144619160_0.jpg	6	10	"2 with single shelf. 3 with media drawer. Item 2: (1 piece) 23 ?""w x 15""h x 15 ?""d. Black-brown. No shelf. Item 3: (1 piece) 23 ?""w x 25 ?""h x 15 ?""d. Black-brown. One shelf (in the picture, item 2 & 3 are stack on top of each other)"	"2 with single shelf. 3 with media drawer. Item 2: (1 piece) 23 ?""w x 15""h x 15 ?""d. Black-brown. No shelf. Item 3: (1 piece) 23 ?""w x 25 ?""h x 15 ?""d. Black-brown. One shelf (in the picture, item 2 & 3 are stack on top of each other) Bought about 4 years ago. Still in good condition with some scuffs (see pics.) You can buy matching doors/drawers/legs from IKEA to make it more personalized and work for you. Thanks"
1370	Ikea Entertainment Center	37600000	furniture/6143904730_0.jpg	190	250	"Flexible Ikea entertainment center that can be separated out into three pieces (two shelving units and the base). Pictured with a 40"" TV but could fit something bigger if the middle shelves are moved up or removed completely. All other shelves are adjustable as well. A piece of the backing on the right shelving unit was removed because we kept a stereo on that shelf, but I have the backing and it can easily be re-attached. Excellent condition, just a few minor nicks on the top of the tv stand (pictured). Also comes with an extra glass door."	"Flexible Ikea entertainment center that can be separated out into three pieces (two shelving units and the base). Pictured with a 40"" TV but could fit something bigger if the middle shelves are moved up or removed completely. All other shelves are adjustable as well. A piece of the backing on the right shelving unit was removed because we kept a stereo on that shelf, but I have the backing and it can easily be re-attached. Excellent condition, just a few minor nicks on the top of the tv stand (pictured). Also comes with an extra glass door. Shelving units: 20 3/8"" x 15 3/4"" x 70"" Cash only, no deliveries. Will need a truck or van for hauling. Thanks!"
1504	IKEA EKTORP L-Shaped Couch	36400000	furniture/6131367996_0.jpg	150	300	"Move-out sale, very good condition IKEA ektorp couch with Dark Grey cover http://www.ikea.com/us/en/catalog/products/S59129176/#/S79164908 Width: 99 1/4 "" Min. depth: 34 5/8 "" Max. depth: 64 1/8 "" Seat height: 17 3/4 "" Width: 252 cm Min. depth: 88 cm"	"Move-out sale, very good condition IKEA ektorp couch with Dark Grey cover http://www.ikea.com/us/en/catalog/products/S59129176/#/S79164908 Width: 99 1/4 "" Min. depth: 34 5/8 "" Max. depth: 64 1/8 "" Seat height: 17 3/4 "" Width: 252 cm Min. depth: 88 cm Max. depth: 163 cm Seat height: 45 cm Height: 88 cm Back and seat frame: Fiberboard, Particleboard, Plywood, Solid wood, Polyurethane foam 1.2 lb/cu.ft. Armrest: Hollow fiber polyester wadding, Fiberboard, Particleboard, Solid wood, Cardboard, Polyurethane foam 1.2 lb/cu.ft., Polyurethane foam 1.5 lb/cu.ft. Seat cushion: Non-woven polypropylene, High-resilience polyurethane foam (cold foam) 2.2 lb/cu.ft., Polyester fiber balls Back cushion: Hollow polyester fibers, Non-woven polypropylene Cover for 3-seat sectional:"
280	IKEA Black Extending Dining Room Table + 4 chairs	27200000	furniture/6144844982_0.jpg	72	95	Black IKEA dining room table. It is 68 inches long and it extends to an extra 32 inches. Comes with 4 chairs included with it. Minor scratches on the table. Must pick up, I live around Lake Merritt, Oakland.	Black IKEA dining room table. It is 68 inches long and it extends to an extra 32 inches. Comes with 4 chairs included with it. Minor scratches on the table. Must pick up, I live around Lake Merritt, Oakland. Email if interested!
82	IKEA TV STAND WITH FROSTED GLASS DOORS	13600000	furniture/6133220337_0.jpg	73	80	# tv console, tv table, media table, media console, media consul, entertainment center, game center, television table, television console, television stand, alameda, birch effect	# tv console, tv table, media table, media console, media consul, entertainment center, game center, television table, television console, television stand, alameda, birch effect
1187	IKEA EKTORP 3-Seater Couch with Chaise Lounge, Grey	13600000	furniture/6144814662_0.jpg	105	150	For sale grey 3-seater IKEA EKTORP couch with chaise lounge. Machine washable cover.	For sale grey 3-seater IKEA EKTORP couch with chaise lounge. Machine washable cover. 4 years old, excellent condition. Original IKEA product: http://www.ikea.com/us/en/catalog/products/S59129176/
261	IKEA Closet Organizer with Pull Out Wire Baskets	12800000	furniture/6144685516_0.jpg	45	75	Two IKEA organizers may be positioned side-by-side or separate.  Each organizer has 7 wire baskets that slide forward.  Baskets can be removed if desired.  Includes hardware to keep units together and to secure to wall.  Price includes both units.	"Two IKEA organizers may be positioned side-by-side or separate.  Each organizer has 7 wire baskets that slide forward.  Baskets can be removed if desired.  Includes hardware to keep units together and to secure to wall.  Price includes both units. Dimensions (both units side-by-side):  39"" width x 23"" depth x 80"" height"
