,word,word_count
6032,price,14489
7962,title,6167
8758,would,4525
7432,start,4099
3686,great,2964
4266,interested,2804
8835,yes,2608
2205,could,2494
3610,go,2469
5452,offer,2394
8653,willing,2339
4659,like,2335
3906,hi,2248
4681,listing_price,2124
5812,pick,2105
3626,good,2061
3880,hello,2042
1982,come,1963
5309,new,1810
5210,my_price,1736
8582,well,1735
2067,condition,1703
2384,deal,1694
7727,take,1473
5722,pay,1374
4765,low,1364
3571,get,1350
6275,really,1314
7480,still,1161
4688,little,1146
1688,cash,1126
7972,today,1060
5191,much,1055
5253,need,1043
8728,work,1006
5480,ok,968
6904,see,954
1651,car,952
7299,sounds,948
1334,bit,939
5494,one,937
8327,used,909
7877,think,905
5481,okay,904
1315,bike,898
989,asking,850
4737,looking,845
569,accept,827
7637,sure,817
3593,give,791
5484,old,775
4768,lower,768
5319,nice,703
6622,right,686
4476,know,679
7784,tell,669
8486,want,662
4837,make,646
3912,high,646
2457,deliver,642
5126,month,616
8824,year,593
4959,meet,589
5803,phone,589
7287,sorry,558
782,also,556
7126,since,554
3639,got,542
7908,throw,532
541,able,530
1519,budget,528
1453,brand,512
5032,miles,506
5695,partner_price,492
6928,selling,489
3132,fair,483
3904,hey,481
958,around,480
1072,available,475
4620,let,474
889,apartment,473
1581,buy,449
3012,even,437
6023,pretty,437
4739,looks,434
6924,sell,433
8540,way,427
4727,long,426
5468,oh,425
6476,rent,422
177,2,418
8827,years,414
5852,place,412
4867,many,404
4152,included,399
4757,love,398
4582,lease,398
3422,free,396
7894,though,391
3041,excellent,386
6760,sale,385
7296,sound,382
6190,questions,367
5277,negotiate,364
7943,time,364
8737,works,362
5765,perfect,360
6999,shape,358
4771,lowest,355
7831,thanks,352
3616,going,349
7959,tires,344
4751,lot,343
8326,use,333
1092,awesome,332
6912,seems,329
944,area,322
6851,scratches,320
4344,item,320
8823,yeah,315
5129,months,314
4616,less,313
1484,bring,312
873,anything,308
3964,home,301
6677,room,295
3023,everything,290
4013,house,290
2487,deposit,284
6805,say,284
2703,dollars,282
3259,fine,282
4000,hoping,279
4680,listing,277
7878,thinking,275
3884,help,275
7828,thank,272
4677,listed,270
5020,middle,270
2769,drop,267
4732,look,265
7266,something,265
8126,truck,258
5119,money,250
5307,never,249
8220,understand,249
5885,please,248
4924,maybe,246
6969,set,244
