	site_location	stars	conrtibutor_name	how_long_ago	review_title	review	can_be_recommended	value_for_money	product_quality	appearance	ease_of_assembly-installation	works_as_expected	helpful_yes	helpful_no
0	us	5	Bunny V	6 months ago	Sturdy, roomy drawers	We bought the entire bedroom suite, including 2 nightstands. They are very sturdy, attractive, and the drawers are very roomy. I would definitely recommend!	Yes	5	5	5	5	5	2.0	0.0
1	us	4	leei	7 months ago	good value	stylish and functional little piece of furniture next to the bed	Yes	5	4	5	5	5	2.0	0.0
2	us	2	MplsGirl	7 months ago	Does not glide open and closed smoothly	The glides in this model aren't made of metal, they are plastic, so the drawers do not glide smoothly, which is what one wants with a dresser or storage. Its cheap and looks nice, but function is disappointing	No	3	2	5	4	1	2.0	0.0
3	us	5	Sarah_	6 months ago	Perfect Side Table	I bought this a few months ago because I was looking for a bedside drawer. It works perfectly. The height is just right and the bottom drawer is large enough I can place my tablet and book inside without fear that it will not close.	Yes	5	5	5	5	5	1.0	0.0
4	us	5	Bernieb 	9 months ago	Just right!	Perfect addition to our set.	Yes	5	5	5	5	5	1.0	0.0
5	us	2	SPAJSP	a year ago	None	The drawers do not slide smoothly.	1	2	3	2	2	6	1.0	
6	us	5	AnnieD	2 years ago	Excellent product!	Brought this nightstand for my kid. Exactly what she needed to storage for extra accessories.	Yes	5	5	5	5	5	27.0	6.0
7	us	1	Deedoo	10 months ago	Waste of money and time	Drawers stick and fall apart.	1	1	2	1	1	3	1.0	
8	us	5	MrsZombie13	a year ago	Perfect	Easy to build, looks nice. Using them as night stands and didn't have to spend a ton on them.	Yes	5	4	5	5	5	2.0	1.0
9	us	3	Rokaxe	2 years ago	Great but a missing part out of the box!	It is a very good product for the price. But mine did not have one back cover out of two.	Yes	4	3	3	4	3	18.0	11.0
10	us	5	Anonymous	a year ago	Love it	Bought this a few months ago. Easy to assemble! A lot bigger than you think—space wise.	Yes	5	5	5	5	5	3.0	3.0
11	us	3	Katie L E	a year ago	Small, but decent price.	I didn't realize it was so small. But it is priced better than the Malm dresser, which is the furniture line I used in my bedroom.	4	4	3	3	2	2	2.0	
12	us	5	Markkaren	5 months ago	Easy to assemble	I’m happy with this purchase,it fit perfectly where I put it.	Yes	5	5	5	5	5	1.0	1.0
13	us	4	tsteele1963	6 months ago	Well made	I bought this on clearance, and wish I had got a few more. Good quality, east to assemble and a great price.	Yes	5	4	4	5	5		
14	us	5	RealDealMia	a year ago	I bought this to use as a night stand in place of the one I needed to get rid of. It does the job just fine and I didn't have to pay $$$$$ for it!	Yes	4	4	4	4	4	1	1.0	
15	us	1	pOjeda	21 days ago	not all that	not to happy with this product.	No	2	2	2	4	1		
16	us	2	Alma1018	10 months ago	Exteremly underwhelming. I’m giving this a 2 because it is ridiculously tiny.	No	3	5	3	4	2	0	7.0	
17	us	5	johhnycool	a year ago	Good looking and good value	Compact, sturdt, functional and a good match to my bedroom	Yes	3	4	5	5	5	0.0	1.0
18	us	4	Annemp	4 months ago	Smaller than I thought but good for the money	I bought this a couple months ago and it is definitely smaller than I planned on but decent quality for the price!	Yes	4	4	4	4	2	0.0	0.0
19	us	2	michelle78	5 months ago	KULLEN 2- drawer chest	It looked good, and I bought this a month ago, but returned it due to missing parts- the item I purchased was white on the panel of the lower bottom drawer, when it was supposed to be one color only (Black-brown after assembly)	No	3	2	2	2	3	0.0	0.0
