,word,word_count
6137,price,12159
5546,offer,5461
8089,title,4760
8890,would,4194
3744,great,3317
4345,interested,2792
8971,yes,2646
4741,like,2336
3977,hi,2287
3683,good,2278
2236,could,2175
3665,go,2174
8787,willing,2123
2411,deal,2114
3951,hello,2089
4766,listing_price,2033
5914,pick,1863
1999,come,1805
5792,partner_price,1675
8717,well,1656
5402,new,1636
2087,condition,1623
7852,take,1394
7413,sounds,1279
5821,pay,1277
3625,get,1257
6381,really,1206
4854,low,1185
5573,ok,1161
5283,much,1114
4773,little,1110
7601,still,1091
5574,okay,1072
7017,see,1065
1709,cash,1023
8863,work,993
8098,today,981
5348,need,972
1672,car,902
8004,think,900
1340,bit,891
5588,one,880
1323,bike,877
7761,sure,865
8459,used,843
1006,asking,836
4823,looking,832
576,accept,828
7958,thanks,784
5578,old,755
4857,lower,729
5412,nice,728
3647,give,696
7913,tell,694
4552,know,693
7955,thank,638
6735,right,635
5303,my_price,633
3982,high,625
8620,want,599
4925,make,586
7400,sorry,572
3697,got,563
3176,fair,559
5905,phone,550
2490,deliver,543
8959,year,531
7238,since,520
1533,budget,517
795,also,499
5216,month,484
5124,miles,480
549,able,477
5050,meet,477
3975,hey,475
7041,selling,473
1464,brand,471
1085,available,469
900,apartment,464
4826,looks,460
4701,let,451
1106,awesome,442
974,around,441
5561,oh,434
5865,perfect,432
1595,buy,426
5954,place,421
6127,pretty,421
8033,throw,420
8674,way,419
4813,long,415
8872,works,414
8962,years,399
3051,even,398
4957,many,393
6588,rent,390
4845,love,390
6874,sale,389
7037,sell,385
5371,negotiate,383
178,2,381
4839,lot,379
4229,included,378
8069,time,375
3083,excellent,370
6293,questions,367
8021,though,365
3470,free,364
7113,shape,343
7409,sound,342
7025,seems,339
3673,going,339
8957,yeah,323
4417,item,323
4860,lowest,322
8086,tires,321
4662,lease,319
6963,scratches,316
3302,fine,315
8458,use,314
884,anything,308
959,area,303
5219,months,290
6791,room,284
6916,say,280
4037,home,279
4818,look,276
4765,listing,276
4086,house,273
4697,less,272
4762,listed,268
5987,please,268
3955,help,266
1495,bring,264
3063,everything,264
8005,thinking,258
2739,dollars,255
4071,hoping,254
7378,something,251
4523,kind,242
5209,money,240
8255,truck,239
5401,never,233
2521,deposit,232
8352,understand,231
2805,drop,224
8472,utilities,224
1922,close,223
7082,set,222
637,actually,222
5112,middle,221
7964,thats,220
270,3,219
